Year,HYDE Estimates 1750-1950,UN Estimates 1950-2015,UN Medium Variant,UN High Variant,UN Low Variant,UN Constant Fertility
1750,736113314.2,,,,,
1760,774158723.7,,,,,
1770,816847710.9,,,,,
1780,892997970.5,,,,,
1790,937242014.4,,,,,
1800,952501465.7,,,,,
1810,1029961401,,,,,
1820,1057376526,,,,,
1830,1139943549,,,,,
1840,1199990593,,,,,
1850,1276316991,,,,,
1860,1333548003,,,,,
1870,1333547793,,,,,
1880,1412555032,,,,,
1890,1530867717,,,,,
1900,1650611158,,,,,
1910,1773272443,,,,,
1920,1907636821,,,,,
1930,2087279751,,,,,
1940,2302820941,,,,,
1950,2529333653,2536274721,,,,
1951,,2583816786,,,,
1952,,2630584384,,,,
1953,,2677230358,,,,
1954,,2724302468,,,,
1955,,2772242535,,,,
1956,,2821383444,,,,
1957,,2871952278,,,,
1958,,2924081243,,,,
1959,,2977824686,,,,
1960,,3033212527,,,,
1961,,3090305279,,,,
1962,,3149244245,,,,
1963,,3210271352,,,,
1964,,3273670772,,,,
1965,,3339592688,,,,
1966,,3408121405,,,,
1967,,3479053821,,,,
1968,,3551880700,,,,
1969,,3625905514,,,,
1970,,3700577650,,,,
1971,,3775790900,,,,
1972,,3851545181,,,,
1973,,3927538695,,,,
1974,,4003448151,,,,
1975,,4079087198,,,,
1976,,4154287594,,,,
1977,,4229201257,,,,
1978,,4304377112,,,,
1979,,4380585755,,,,
1980,,4458411534,,,,
1981,,4537845777,,,,
1982,,4618776168,,,,
1983,,4701530843,,,,
1984,,4786483862,,,,
1985,,4873781796,,,,
1986,,4963633228,,,,
1987,,5055636132,,,,
1988,,5148556956,,,,
1989,,5240735117,,,,
1990,,5330943460,,,,
1991,,5418758803,,,,
1992,,5504401149,,,,
1993,,5588094837,,,,
1994,,5670319703,,,,
1995,,5751474416,,,,
1996,,5831565020,,,,
1997,,5910566295,,,,
1998,,5988846103,,,,
1999,,6066867391,,,,
2000,,6145006989,,,,
2001,,6223412158,,,,
2002,,6302149639,,,,
2003,,6381408987,,,,
2004,,6461370865,,,,
2005,,6542159383,,,,
2006,,6623847913,,,,
2007,,6706418593,,,,
2008,,6789771253,,,,
2009,,6873741054,,,,
2010,,6958169159,,,,
2011,,7043008586,,,,
2012,,7128176935,,,,
2013,,7213426452,,,,
2014,,7298453033,,,,
2015,,7383008820,7383008820,7383008820,7383008820,7383008820
2016,,,7466964280,7476053631,7458174982,7471094883
2017,,,7550262101,7571259156,7529619677,7559571757
2018,,,7632819325,7668093338,7597815559,7648434379
2019,,,7714576923,7766124032,7663136954,7737681494
2020,,,7795482309,7865018659,7725860308,7827315066
2021,,,7875464634,7964548504,7786159167,7917341030
2022,,,7954468982,8064584649,7844109323,8007769160
2023,,,8032487475,8165084011,7899703188,8098612586
2024,,,8109532823,8266066859,7952874306,8189889863
2025,,,8185613757,8367547932,8003570926,8281626942
2026,,,8260710124,8469463660,8051834477,8373858619
2027,,,8334801643,8571608326,8097867833,8466631930
2028,,,8407900352,8673606754,8142065001,8560006418
2029,,,8480027356,8774992023,8184927841,8654051371
2030,,,8551198644,8875432903,8226820800,8748839028
2031,,,8621415775,8974792089,8267900651,8844438857
2032,,,8690673506,9073155139,8308100495,8940922455
2033,,,8758973114,9170703672,8347275580,9038370153
2034,,,8826315616,9267733375,8385173339,9136867035
2035,,,8892701940,9364490721,8421592190,9236503749
2036,,,8958126691,9461032808,8456494159,9337366348
2037,,,9022590075,9557381222,8489897121,9439553680
2038,,,9086103797,9653714802,8521711545,9543187099
2039,,,9148683649,9750240541,8551838603,9648399215
2040,,,9210337004,9847129011,8580188784,9755315789
2041,,,9271063273,9944468537,8606709614,9864053988
2042,,,9330845890,10042309960,8631347857,9974715687
2043,,,9389655929,10140733840,8654016336,10087394020
2044,,,9447454649,10239810060,8674621492,10202175960
2045,,,9504209572,10339587100,8693091461,10319159150
2046,,,9559909195,10440102500,8709391250,10438466820
2047,,,9614545440,10541359820,8723511287,10560232090
2048,,,9668093432,10643322100,8735441407,10684578310
2049,,,9720525979,10745925650,8745184856,10811631480
2050,,,9771822753,10849107460,8752754583,10941526880
2051,,,9821979204,10952856870,8758158733,11074413610
2052,,,9870996143,11057142050,8761425059,11210448270
2053,,,9918868234,11161849520,8762618408,11349788130
2054,,,9965591995,11266838080,8761823238,11492595960
2055,,,10011171420,11371996810,8759118425,11639044040
2056,,,10055609540,11477284550,8754544538,11789312460
2057,,,10098925720,11582694000,8748148455,11943593180
2058,,,10141161410,11688193040,8740024486,12102088300
2059,,,10182370370,11793759210,8730280782,12265009550
2060,,,10222598470,11899382360,8719007601,12432573420
2061,,,10261867910,12005055750,8706258714,12604996930
2062,,,10300193300,12110794540,8692065777,12782502010
2063,,,10337605230,12216646450,8676468662,12965322630
2064,,,10374134680,12322677550,8659499256,13153699550
2065,,,10409808300,12428951730,8641184048,13347878460
2066,,,10444646730,12535499140,8621556610,13548114190
2067,,,10478663350,12642357010,8600636493,13754660900
2068,,,10511866500,12749606350,8578415092,13967768220
2069,,,10544259440,12857342120,8554870376,14187687440
2070,,,10575846550,12965645030,8529987886,14414682500
2071,,,10606640450,13074559240,8503782543,14649044430
2072,,,10636651710,13184116030,8476271611,14891073440
2073,,,10665879010,13294366940,8447446384,15141063640
2074,,,10694316770,13405362280,8417292417,15399314940
2075,,,10721963760,13517141320,8385806721,15666142830
2076,,,10748825990,13629727690,8353003292,15941885510
2077,,,10774916270,13743132580,8318911232,16226897330
2078,,,10800248730,13857362010,8283563460,16521538300
2079,,,10824840810,13972413930,8247000785,16826180980
2080,,,10848708180,14088280440,8209264662,17141211000
2081,,,10871858040,14204954700,8170384949,17467025370
2082,,,10894298620,14322419330,8130398268,17804035510
2083,,,10916049660,14440638070,8089362658,18152669440
2084,,,10937133170,14559563940,8047344794,18513368380
2085,,,10957565800,14679150160,8004404355,18886584310
2086,,,10977355760,14799366900,7960584837,19272784020
2087,,,10996502490,14920179040,7915921721,19672438700
2088,,,11015004820,15041525580,7870457325,20086019570
2089,,,11032857620,15163336710,7824232368,20514005340
2090,,,11050055190,15285550230,7777285959,20956894950
2091,,,11066592640,15408117510,7729655304,21415211810
2092,,,11082465220,15531000700,7681375693,21889503210
2093,,,11097667990,15654169120,7632480686,22380335200
2094,,,11112193710,15777593260,7583002133,22888289700
2095,,,11126032800,15901239680,7532970369,23413959620
2096,,,11139172510,16025070420,7482414119,23957947940
2097,,,11151596850,16149040620,7431360476,24520866280
2098,,,11163286400,16273099130,7379835121,25103335470
2099,,,11174218740,16397188420,7327862146,25705985450
2100,,,11184367720,16521244910,7275464054,26329454980